pnum,dx,dy,dz,x,y,site,elev,kij,k,i,j,rk,ri,rj,dum
73,7.8328260572737705,-6.2166579410880445,0.3684210526315789,1925082.3138260571,5599133.639342058,aw,8.78265140263158,"(0, np.int64(69), np.int64(79))",1.0,70.0,80.0,0.27924635399054176,0.36393420584499836,0.23138260571286082,0
74,8.332869410130307,5.5284073107645195,0.3684210526315789,1925082.81386941,5599145.384407311,aw,8.78265140263158,"(nan, nan, nan)",1.0,69.0,80.0,0.5,0.5,0.5,0
75,1.532032163528477,-9.881947047516205,0.39473684210526316,1925076.0130321635,5599129.974052953,aw,8.808967192105264,"(0, np.int64(70), np.int64(78))",1.0,71.0,79.0,0.4668299382802369,0.9974052952602506,0.6013032163493335,0
76,9.871714107683259,-1.5966404028983237,0.39473684210526316,1925084.3527141076,5599138.259359597,aw,8.808967192105264,"(0, np.int64(69), np.int64(79))",1.0,70.0,80.0,0.2950647589046044,0.8259359597228467,0.4352714107604697,0
77,4.569022682241617,8.895169010713715,0.39473684210526316,1925079.0500226822,5599148.75116901,aw,8.808967192105264,"(0, np.int64(68), np.int64(78))",1.0,69.0,79.0,0.4342290489040697,0.8751169010065496,0.9050022682175041,0
78,-7.047902794688729,7.094157187194179,0.39473684210526316,1925067.4330972051,5599146.950157187,aw,8.808967192105264,"(0, np.int64(68), np.int64(77))",1.0,69.0,78.0,0.3639024619480055,0.6950157186947763,0.7433097205124796,0
79,-8.924866158764624,-4.510738747493362,0.39473684210526316,1925065.5561338412,5599135.3452612525,aw,8.808967192105264,"(nan, nan, nan)",1.0,70.0,78.0,0.5,0.5,0.5,0
80,9.994848462775083,0.32094268360962463,0.42105263157894735,1925084.4758484627,5599140.176942683,aw,8.835282981578947,"(nan, nan, nan)",1.0,69.0,80.0,0.5,0.5,0.5,0
81,2.783343400595633,9.604842503360517,0.42105263157894735,1925077.2643434005,5599149.460842503,aw,8.835282981578947,"(0, np.int64(68), np.int64(78))",1.0,69.0,79.0,0.4504631913008355,0.9460842503234744,0.7264343400485813,0
82,-8.27464763884427,5.615176440056801,0.42105263157894735,1925066.206352361,5599145.47117644,aw,8.835282981578947,"(0, np.int64(68), np.int64(77))",1.0,69.0,78.0,0.379926511631435,0.5471176439896226,0.6206352361012251,0
83,-7.897356886330455,-6.134472610577778,0.42105263157894735,1925066.5836431135,5599133.721527389,aw,8.835282981578947,"(nan, nan, nan)",1.0,70.0,78.0,0.5,0.5,0.5,0
84,3.393812661804003,-9.406489016449168,0.42105263157894735,1925077.8748126617,5599130.449510983,aw,8.835282981578947,"(0, np.int64(69), np.int64(78))",1.0,70.0,79.0,0.9468620182117081,0.044951098319143054,0.7874812661670149,0
85,7.589446045518008,6.511551944212,0.4473684210526315,1925082.0704460454,5599146.367551944,aw,8.861598771052632,"(nan, nan, nan)",1.0,69.0,80.0,0.5,0.5,0.5,0
86,-3.847586101780392,9.230172327177124,0.4473684210526315,1925070.633413898,5599149.0861723265,aw,8.861598771052632,"(0, np.int64(68), np.int64(78))",1.0,69.0,79.0,0.46669733369760236,0.9086172326467932,0.06334138980600983,0
87,-9.967385031060003,-0.8069917239978203,0.4473684210526315,1925064.5136149689,5599139.049008275,aw,8.861598771052632,"(nan, nan, nan)",1.0,70.0,78.0,0.5,0.5,0.5,0
