x,y,i,j,node,start_datetime,end_datetime,flux_m3,screen_top,screen_botm
532955.0,1205285.0,264,355,104371,2007-04-01,2007-04-30,-213.36,9999.0,9999.0
533955.0,1205285.0,264,356,104372,2007-04-01,2007-04-30,-71.12001,9999.0,9999.0
501955.0,1206285.0,265,324,104734,2007-04-01,2007-04-30,-177.8,9999.0,9999.0
502955.0,1206285.0,265,325,104735,2007-04-01,2007-04-30,-1635.7601,9999.0,9999.0
503955.0,1206285.0,265,326,104736,2007-04-01,2007-04-30,-711.2,9999.0,9999.0
504955.0,1206285.0,265,327,104737,2007-04-01,2007-04-30,-71.12001,9999.0,9999.0
512955.0,1206285.0,265,335,104745,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
535955.0,1206285.0,265,358,104768,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
534955.0,1207285.0,266,357,105161,2007-04-01,2007-04-30,-248.92001000000002,9999.0,9999.0
499955.0,1174285.0,233,322,92124,2007-05-01,2007-05-31,-17.479570000000002,9999.0,9999.0
500955.0,1174285.0,233,323,92125,2007-05-01,2007-05-31,-17.479570000000002,9999.0,9999.0
501955.0,1174285.0,233,324,92126,2007-05-01,2007-05-31,-77.20143,9999.0,9999.0
502955.0,1174285.0,233,325,92127,2007-05-01,2007-05-31,-90.31111,9999.0,9999.0
503955.0,1174285.0,233,326,92128,2007-05-01,2007-05-31,-35.232254,9999.0,9999.0
504955.0,1174285.0,233,327,92129,2007-05-01,2007-05-31,-113.6172,9999.0,9999.0
506955.0,1174285.0,233,329,92131,2007-05-01,2007-05-31,-243.25734,9999.0,9999.0
507955.0,1174285.0,233,330,92132,2007-05-01,2007-05-31,-93.22437,9999.0,9999.0
508955.0,1174285.0,233,331,92133,2007-05-01,2007-05-31,-54.39605699999999,9999.0,9999.0
510955.0,1174285.0,233,333,92135,2007-05-01,2007-05-31,-44.24516,9999.0,9999.0
514955.0,1174285.0,233,337,92139,2007-05-01,2007-05-31,-79.386375,9999.0,9999.0
515955.0,1174285.0,233,338,92140,2007-05-01,2007-05-31,-5.872043,9999.0,9999.0
517955.0,1174285.0,233,340,92142,2007-05-01,2007-05-31,-4.9161285999999995,9999.0,9999.0
522955.0,1174285.0,233,345,92147,2007-05-01,2007-05-31,-3.9146953,9999.0,9999.0
523955.0,1174285.0,233,346,92148,2007-05-01,2007-05-31,-52.84839,9999.0,9999.0
524955.0,1174285.0,233,347,92149,2007-05-01,2007-05-31,-87.44337,9999.0,9999.0
528955.0,1174285.0,233,351,92153,2007-05-01,2007-05-31,-117.9871,9999.0,9999.0
501955.0,1175285.0,234,324,92520,2007-05-01,2007-05-31,-19.573477,9999.0,9999.0
502955.0,1175285.0,234,325,92521,2007-05-01,2007-05-31,-93.95269,9999.0,9999.0
503955.0,1175285.0,234,326,92522,2007-05-01,2007-05-31,-55.80716700000001,9999.0,9999.0
504955.0,1175285.0,234,327,92523,2007-05-01,2007-05-31,-58.265232,9999.0,9999.0
505955.0,1175285.0,234,328,92524,2007-05-01,2007-05-31,-3.9146953,9999.0,9999.0
506955.0,1175285.0,234,329,92525,2007-05-01,2007-05-31,-63.181362,9999.0,9999.0
507955.0,1175285.0,234,330,92526,2007-05-01,2007-05-31,-34.959140000000005,9999.0,9999.0
508955.0,1175285.0,234,331,92527,2007-05-01,2007-05-31,-37.8724,9999.0,9999.0
509955.0,1175285.0,234,332,92528,2007-05-01,2007-05-31,-21.621862,9999.0,9999.0
510955.0,1175285.0,234,333,92529,2007-05-01,2007-05-31,-29.496775,9999.0,9999.0
511955.0,1175285.0,234,334,92530,2007-05-01,2007-05-31,-23.488173,9999.0,9999.0
512955.0,1175285.0,234,335,92531,2007-05-01,2007-05-31,-58.765944999999995,9999.0,9999.0
513955.0,1175285.0,234,336,92532,2007-05-01,2007-05-31,-72.42187,9999.0,9999.0
514955.0,1175285.0,234,337,92533,2007-05-01,2007-05-31,-23.57921,9999.0,9999.0
515955.0,1175285.0,234,338,92534,2007-05-01,2007-05-31,-1.9573476000000003,9999.0,9999.0
517955.0,1175285.0,234,340,92536,2007-05-01,2007-05-31,-12.745519999999999,9999.0,9999.0
518955.0,1175285.0,234,341,92537,2007-05-01,2007-05-31,-60.677776,9999.0,9999.0
519955.0,1175285.0,234,342,92538,2007-05-01,2007-05-31,-9.786738,9999.0,9999.0
522955.0,1175285.0,234,345,92541,2007-05-01,2007-05-31,-27.402865999999996,9999.0,9999.0
523955.0,1175285.0,234,346,92542,2007-05-01,2007-05-31,-133.09964,9999.0,9999.0
524955.0,1175285.0,234,347,92543,2007-05-01,2007-05-31,-87.76201,9999.0,9999.0
525955.0,1175285.0,234,348,92544,2007-05-01,2007-05-31,-11.653047,9999.0,9999.0
526955.0,1175285.0,234,349,92545,2007-05-01,2007-05-31,-5.8265233,9999.0,9999.0
527955.0,1175285.0,234,350,92546,2007-05-01,2007-05-31,-3.9146953,9999.0,9999.0
528955.0,1175285.0,234,351,92547,2007-05-01,2007-05-31,-46.976345,9999.0,9999.0
529955.0,1175285.0,234,352,92548,2007-05-01,2007-05-31,-50.891037,9999.0,9999.0
500955.0,1176285.0,235,323,92913,2007-05-01,2007-05-31,-1.9573476000000003,9999.0,9999.0
501955.0,1176285.0,235,324,92914,2007-05-01,2007-05-31,-45.201073,9999.0,9999.0
502955.0,1176285.0,235,325,92915,2007-05-01,2007-05-31,-43.06165,9999.0,9999.0
503955.0,1176285.0,235,326,92916,2007-05-01,2007-05-31,-3.9146953,9999.0,9999.0
505955.0,1176285.0,235,328,92918,2007-05-01,2007-05-31,-3.9146953,9999.0,9999.0
506955.0,1176285.0,235,329,92919,2007-05-01,2007-05-31,-27.357346000000003,9999.0,9999.0
509955.0,1176285.0,235,332,92922,2007-05-01,2007-05-31,-14.748387,9999.0,9999.0
510955.0,1176285.0,235,333,92923,2007-05-01,2007-05-31,-152.4,9999.0,9999.0
511955.0,1176285.0,235,334,92924,2007-05-01,2007-05-31,-14.748387,9999.0,9999.0
512955.0,1176285.0,235,335,92925,2007-05-01,2007-05-31,-22.577778,9999.0,9999.0
514955.0,1176285.0,235,337,92927,2007-05-01,2007-05-31,-69.91828000000001,9999.0,9999.0
515955.0,1176285.0,235,338,92928,2007-05-01,2007-05-31,-48.56953,9999.0,9999.0
518955.0,1176285.0,235,341,92931,2007-05-01,2007-05-31,-97.13906,9999.0,9999.0
519955.0,1176285.0,235,342,92932,2007-05-01,2007-05-31,-35.232254,9999.0,9999.0
520955.0,1176285.0,235,343,92933,2007-05-01,2007-05-31,-11.744086,9999.0,9999.0
522955.0,1176285.0,235,345,92935,2007-05-01,2007-05-31,-186.67633,9999.0,9999.0
524955.0,1176285.0,235,347,92937,2007-05-01,2007-05-31,-195.37062,9999.0,9999.0
525955.0,1176285.0,235,348,92938,2007-05-01,2007-05-31,-259.28027000000003,9999.0,9999.0
526955.0,1176285.0,235,349,92939,2007-05-01,2007-05-31,-127.36416000000001,9999.0,9999.0
527955.0,1176285.0,235,350,92940,2007-05-01,2007-05-31,-87.17025,9999.0,9999.0
528955.0,1176285.0,235,351,92941,2007-05-01,2007-05-31,-160.5025,9999.0,9999.0
529955.0,1176285.0,235,352,92942,2007-05-01,2007-05-31,-50.982079999999996,9999.0,9999.0
499955.0,1177285.0,236,322,93306,2007-05-01,2007-05-31,-64.09176,9999.0,9999.0
500955.0,1177285.0,236,323,93307,2007-05-01,2007-05-31,-32.04588,9999.0,9999.0
501955.0,1177285.0,236,324,93308,2007-05-01,2007-05-31,-94.681,9999.0,9999.0
502955.0,1177285.0,236,325,93309,2007-05-01,2007-05-31,-23.306093,9999.0,9999.0
503955.0,1177285.0,236,326,93310,2007-05-01,2007-05-31,-23.306093,9999.0,9999.0
504955.0,1177285.0,236,327,93311,2007-05-01,2007-05-31,-36.962006,9999.0,9999.0
505955.0,1177285.0,236,328,93312,2007-05-01,2007-05-31,-8.830824,9999.0,9999.0
506955.0,1177285.0,236,329,93313,2007-05-01,2007-05-31,-50.891037,9999.0,9999.0
507955.0,1177285.0,236,330,93314,2007-05-01,2007-05-31,-13.655914000000001,9999.0,9999.0
508955.0,1177285.0,236,331,93315,2007-05-01,2007-05-31,-1.9573476000000003,9999.0,9999.0
509955.0,1177285.0,236,332,93316,2007-05-01,2007-05-31,-1.9573476000000003,9999.0,9999.0
510955.0,1177285.0,236,333,93317,2007-05-01,2007-05-31,-9.832257,9999.0,9999.0
511955.0,1177285.0,236,334,93318,2007-05-01,2007-05-31,-2.9132617,9999.0,9999.0
514955.0,1177285.0,236,337,93321,2007-05-01,2007-05-31,-122.35699,9999.0,9999.0
515955.0,1177285.0,236,338,93322,2007-05-01,2007-05-31,-32.04588,9999.0,9999.0
517955.0,1177285.0,236,340,93324,2007-05-01,2007-05-31,-50.891037,9999.0,9999.0
518955.0,1177285.0,236,341,93325,2007-05-01,2007-05-31,-86.1233,9999.0,9999.0
519955.0,1177285.0,236,342,93326,2007-05-01,2007-05-31,-21.576345,9999.0,9999.0
522955.0,1177285.0,236,345,93329,2007-05-01,2007-05-31,-332.0663,9999.0,9999.0
523955.0,1177285.0,236,346,93330,2007-05-01,2007-05-31,-164.96344,9999.0,9999.0
524955.0,1177285.0,236,347,93331,2007-05-01,2007-05-31,-13.655914000000001,9999.0,9999.0
525955.0,1177285.0,236,348,93332,2007-05-01,2007-05-31,-26.219357000000002,9999.0,9999.0
527955.0,1177285.0,236,350,93334,2007-05-01,2007-05-31,-3.9146953,9999.0,9999.0
529955.0,1177285.0,236,352,93336,2007-05-01,2007-05-31,-1.9573476000000003,9999.0,9999.0
530955.0,1177285.0,236,353,93337,2007-05-01,2007-05-31,-29.360214000000003,9999.0,9999.0
