pnum,dx,dy,dz,x,y,site,elev,kij,k,i,j,rk,ri,rj,dum
65,-3.039647098812472,-9.526832921526488,0.3421052631578947,1925189.052352901,5599059.652167078,pk2,3.5096955231578946,"(3, np.int64(77), np.int64(89))",4,78,90,0.17457515689241354,0.9652167078107595,0.9052352901082485,0
66,8.121253919237404,-5.834829455885675,0.3421052631578947,1925200.2132539193,5599063.344170543,pk2,3.5096955231578946,"(3, np.int64(76), np.int64(91))",4,77,92,0.3996495217445257,0.334417054336518,0.021325391926802696,0
67,8.05885805216948,5.920709999230085,0.3421052631578947,1925200.150858052,5599075.099709999,pk2,3.5096955231578946,"(3, np.int64(75), np.int64(91))",4,76,92,0.11635675359679465,0.5099709998816252,0.015085805207490921,0
68,-3.140605732485881,9.494029472941234,0.3421052631578947,1925188.9513942674,5599078.673029472,pk2,3.5096955231578946,"(3, np.int64(75), np.int64(89))",4,76,90,0.5167197349728001,0.8673029472120106,0.8951394267380237,0
69,-9.999859140108521,-0.053077094759143954,0.3421052631578947,1925182.09214086,5599069.125922904,pk2,3.5096955231578946,"(3, np.int64(76), np.int64(89))",4,77,90,0.45355750118813476,0.9125922904349864,0.2092140859924257,0
70,-2.6828295379989573,9.63340156279392,0.3684210526315789,1925189.409170462,5599078.812401562,pk2,3.5360113126315786,"(3, np.int64(75), np.int64(89))",4,76,90,0.5355901657791496,0.8812401561997831,0.9409170462051406,0
71,-9.990949250635838,0.42536228231847595,0.3684210526315789,1925182.1010507494,5599069.604362282,pk2,3.5360113126315786,"(3, np.int64(76), np.int64(89))",4,77,90,0.4719543399557182,0.960436228197068,0.21010507494211197,0
72,-3.491916678769286,-9.370513214788872,0.3684210526315789,1925188.600083321,5599059.808486785,pk2,3.5360113126315786,"(3, np.int64(77), np.int64(89))",4,78,90,0.19088017860150308,0.9808486784808338,0.86000833211001,0
73,7.8328260572737705,-6.2166579410880445,0.3684210526315789,1925199.9248260572,5599062.962342058,pk2,3.5360113126315786,"(3, np.int64(76), np.int64(90))",4,77,91,0.4821110091614583,0.29623420583084226,0.9924826057162136,0
74,8.332869410130307,5.5284073107645195,0.3684210526315789,1925200.42486941,5599074.707407311,pk2,3.5360113126315786,"(3, np.int64(75), np.int64(91))",4,76,92,0.13222525227748694,0.4707407310605049,0.04248694099951535,0
75,1.532032163528477,-9.881947047516205,0.39473684210526316,1925193.6240321635,5599059.297052952,pk2,3.562327102105263,"(3, np.int64(77), np.int64(90))",4,78,91,0.013387675474977115,0.9297052952460945,0.3624032163526863,0
76,9.871714107683259,-1.5966404028983237,0.39473684210526316,1925201.9637141076,5599067.582359597,pk2,3.562327102105263,"(3, np.int64(76), np.int64(91))",4,77,92,0.4356347923802174,0.7582359597086906,0.1963714107638225,0
77,4.569022682241617,8.895169010713715,0.39473684210526316,1925196.6610226822,5599078.07416901,pk2,3.562327102105263,"(3, np.int64(75), np.int64(90))",4,76,91,0.5650951892761036,0.8074169009923935,0.6661022682208568,0
78,-7.047902794688729,7.094157187194179,0.39473684210526316,1925185.0440972052,5599076.273157187,pk2,3.562327102105263,"(3, np.int64(75), np.int64(89))",4,76,90,0.5544605965854996,0.6273157186806202,0.5044097205158323,0
79,-8.924866158764624,-4.510738747493362,0.39473684210526316,1925183.1671338412,5599064.668261252,pk2,3.562327102105263,"(3, np.int64(76), np.int64(89))",4,77,90,0.490351178723302,0.46682612523436545,0.3167133841197938,0
80,9.994848462775083,0.32094268360962463,0.42105263157894735,1925202.0868484627,5599069.499942683,pk2,3.5886428915789472,"(3, np.int64(76), np.int64(91))",4,77,92,0.4536274276980631,0.9499942682683468,0.2086848462698981,0
81,2.783343400595633,9.604842503360517,0.42105263157894735,1925194.8753434005,5599078.783842503,pk2,3.5886428915789472,"(3, np.int64(75), np.int64(90))",4,76,91,0.5840441805494055,0.8783842503093183,0.48753434005193413,0
82,-8.27464763884427,5.615176440056801,0.42105263157894735,1925183.817352361,5599074.79417644,pk2,3.5886428915789472,"(3, np.int64(75), np.int64(89))",4,76,90,0.5733310273918492,0.4794176439754665,0.38173523610457777,0
83,-7.897356886330455,-6.134472610577778,0.42105263157894735,1925184.1946431135,5599063.044527389,pk2,3.5886428915789472,"(3, np.int64(76), np.int64(89))",4,77,90,0.5087480174908855,0.30445273891091346,0.41946431135293094,0
84,3.393812661804003,-9.406489016449168,0.42105263157894735,1925195.4858126617,5599059.772510983,pk2,3.5886428915789472,"(3, np.int64(77), np.int64(90))",4,78,91,0.028261067131065413,0.9772510983049869,0.5485812661703676,0
85,7.589446045518008,6.511551944212,0.4473684210526315,1925199.6814460454,5599075.690551944,pk2,3.6149586810526313,"(3, np.int64(75), np.int64(90))",4,76,91,0.6029931718227075,0.5690551944077015,0.96814460454043,0
86,-3.847586101780392,9.230172327177124,0.4473684210526315,1925188.244413898,5599078.409172326,pk2,3.6149586810526313,"(3, np.int64(75), np.int64(89))",4,76,90,0.5922014581981987,0.8409172326326371,0.8244413898093625,0
87,-9.967385031060003,-0.8069917239978203,0.4473684210526315,1925182.124614969,5599068.372008275,pk2,3.6149586810526313,"(3, np.int64(76), np.int64(89))",4,77,90,0.527144856258469,0.837200827524066,0.2124614968895912,0
88,-2.312596626371618,-9.728920641247651,0.4473684210526315,1925189.7794033736,5599059.450079358,pk2,3.6149586810526313,"(3, np.int64(77), np.int64(89))",4,78,90,0.23979524372877198,0.9450079358182848,0.9779403373599053,0
89,8.538121713694002,-5.205811906143651,0.4473684210526315,1925200.6301217137,5599063.973188093,pk2,3.6149586810526313,"(3, np.int64(76), np.int64(91))",4,77,92,0.47162006301590875,0.3973188092932105,0.06301217137370259,0
90,7.666799260448328,6.420295094463258,0.47368421052631576,1925199.7587992605,5599075.599295094,pk2,3.641274470526316,"(3, np.int64(75), np.int64(90))",4,76,91,0.6219421630960097,0.5599295093677938,0.9758799260482192,0
91,-3.7368922221872762,9.275539688867502,0.47368421052631576,1925188.3551077778,5599078.454539688,pk2,3.641274470526316,"(3, np.int64(75), np.int64(89))",4,76,90,0.6110718890045486,0.8454539688304067,0.8355107777751982,0
92,-9.97632566605519,-0.6876963027445153,0.47368421052631576,1925182.1156743339,5599068.491303697,pk2,3.641274470526316,"(3, np.int64(76), np.int64(89))",4,77,90,0.5455416950260527,0.8491303697228432,0.2115674333879724,0
93,-2.4288161222727602,-9.700559377901252,0.47368421052631576,1925189.6631838777,5599059.478440622,pk2,3.641274470526316,"(3, np.int64(77), np.int64(89))",4,78,90,0.2561002654378618,0.9478440621867776,0.9663183877710253,0
94,8.475234750066903,-5.307579102684991,0.47368421052631576,1925200.56723475,5599063.871420897,pk2,3.641274470526316,"(3, np.int64(76), np.int64(91))",4,77,92,0.4896126983337547,0.3871420896612108,0.056723474990576506,0
95,0.14650427070028788,9.998926767341912,0.5,1925192.2385042706,5599079.177926767,pk2,3.66759026,"(3, np.int64(75), np.int64(90))",4,76,91,0.6408911543693117,0.9177926766686142,0.2238504270557314,0
96,-9.464272148643664,3.229172137933787,0.5,1925182.6277278513,5599072.408172137,pk2,3.66759026,"(3, np.int64(75), np.int64(89))",4,76,90,0.6299423198108981,0.2408172137103975,0.26277278512716296,0
97,-5.995746137341071,-8.003188630574668,0.5,1925186.0962538626,5599061.175811369,pk2,3.66759026,"(3, np.int64(76), np.int64(89))",4,77,90,0.5639385337936361,0.11758113689720631,0.6096253862604499,0
98,5.758697247850985,-8.175414730005658,0.5,1925197.8506972478,5599061.00358527,pk2,3.66759026,"(3, np.int64(76), np.int64(90))",4,77,91,0.5744731437922876,0.10035852696746587,0.7850697247777134,0
99,9.554816767433458,2.950504455304625,0.5,1925201.6468167673,5599072.129504455,pk2,3.66759026,"(3, np.int64(75), np.int64(91))",4,76,92,0.211567745680949,0.2129504455253482,0.16468167672865092,0
