pnum,dx,dy,dz,x,y,site,elev,kij,k,i,j,rk,ri,rj,dum
39,5.817341442704739,-8.133789924690085,0.18421052631578946,1925295.4683414428,5599045.088210075,pw,8.55602048631579,"(0, np.int64(78), np.int64(100))",1.0,79.0,101.0,0.999999,0.5088210075162352,0.5468341442756355,0
40,8.09280747599217,5.874220557361227,0.21052631578947367,1925297.743807476,5599059.096220558,pw,8.582336275789475,"(0, np.int64(77), np.int64(100))",1.0,78.0,101.0,0.999999,0.9096220557577908,0.7743807476013899,0
41,-3.0859006969471388,9.511951266095783,0.21052631578947367,1925286.5650993031,5599062.733951266,pw,8.582336275789475,"(nan, nan, nan)",1.0,77.0,100.0,0.5,0.5,0.5,0
42,-9.999998992612491,0.004488624418560528,0.21052631578947367,1925279.6510010075,5599053.226488625,pw,8.582336275789475,"(1, np.int64(77), np.int64(98))",2.0,78.0,99.0,0.7047422913318042,0.3226488624699414,0.9651001007528975,0
43,-3.0944385679520883,-9.509177143642379,0.21052631578947367,1925286.556561432,5599043.712822856,pw,8.582336275789475,"(0, np.int64(78), np.int64(99))",1.0,79.0,100.0,0.36911127897947427,0.3712822856381536,0.6556561432080343,0
44,8.087530781519549,-5.881483304233193,0.21052631578947367,1925297.7385307816,5599047.340516696,pw,8.582336275789475,"(0, np.int64(78), np.int64(100))",1.0,79.0,101.0,0.999999,0.734051669575274,0.7738530781585723,0
45,-9.987159375769005,-0.5066039903013696,0.23684210526315788,1925279.6638406243,5599052.715396009,pw,8.608652065263158,"(1, np.int64(77), np.int64(98))",2.0,78.0,99.0,0.7191683175130601,0.27153960093855856,0.9663840624270961,0
46,-2.6043929464864704,-9.654902246024633,0.23684210526315788,1925287.0466070536,5599043.567097754,pw,8.608652065263158,"(0, np.int64(78), np.int64(99))",1.0,79.0,100.0,0.385574442159281,0.3567097754217684,0.704660705360584,0
47,8.37755601477988,-5.460453755799555,0.23684210526315788,1925298.0285560149,5599047.761546244,pw,8.608652065263158,"(0, np.int64(78), np.int64(100))",1.0,79.0,101.0,0.999999,0.7761546243913472,0.8028556014876813,0
48,7.782007306276553,6.280156230943491,0.23684210526315788,1925297.4330073064,5599059.502156231,pw,8.608652065263158,"(0, np.int64(77), np.int64(100))",1.0,78.0,101.0,0.999999,0.9502156230621039,0.7433007306419313,0
49,-3.5680109988009563,9.341803761182065,0.23684210526315788,1925286.0829890012,5599062.563803761,pw,8.608652065263158,"(nan, nan, nan)",1.0,77.0,100.0,0.5,0.5,0.5,0
50,3.0753740923358186,9.515359908704959,0.2631578947368421,1925292.7263740925,5599062.737359908,pw,8.634967854736843,"(0, np.int64(76), np.int64(100))",1.0,77.0,101.0,0.999999,0.2737359908409417,0.2726374092511833,0
51,-8.099302187475311,5.865262489945154,0.2631578947368421,1925281.5516978125,5599059.08726249,pw,8.634967854736843,"(0, np.int64(77), np.int64(99))",1.0,78.0,100.0,0.8398238193570967,0.9087262489832938,0.15516978125087916,0
52,-8.081018129351934,-5.8904283369790145,0.2631578947368421,1925281.5699818707,5599047.331571663,pw,8.634967854736843,"(0, np.int64(78), np.int64(99))",1.0,79.0,100.0,0.4020376053390888,0.7331571662798524,0.15699818707071245,0
53,3.1049583198317166,-9.505747410493706,0.2631578947368421,1925292.7559583199,5599043.71625259,pw,8.634967854736843,"(0, np.int64(78), np.int64(100))",1.0,79.0,101.0,0.999999,0.3716252589598298,0.275595831987448,0
